,location,industry,experience,skills,salary
293,Красногорск,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Работа в команде Грамотная речь Пользователь ПК Клиентоориентированность Обучение и развитие,от 27 000 до 41 000 руб. до вычета налогов
294,Москва,['Продажи'],1–3 года,,от 50 000 до 150 000 руб. до вычета налогов
295,Красноярск,"['Бухгалтерия, управленческий учет, финансы предприятия', 'Продажи', 'Банки, инвестиции, лизинг']",1–3 года,Первичная бухгалтерская документация 1С: Предприятие 8 1C: Предприятие Работа с первичной документацией Банковское кассовое обслуживание,от 36 000 до 38 000 руб. на руки
296,Краснодар,"['Административный персонал', 'Продажи']",не требуется,Консультирование клиентов по телефону Проведение опросов клиентов Грамотная речь Пользователь ПК Телефонные переговоры,от 35 000 до 70 000 руб. на руки
297,Набережные Челны,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Первичная документация Кассовые операции Учет ТМЦ Первичная бухгалтерская документация ТМЦ,от 30 000 до 35 000 руб. на руки
298,Москва,['Продажи'],1–3 года,Кассовые операции Навыки продаж Активные продажи Консультирование Деловое общение Консультирование клиентов Ведение отчетности Дебиторская задолженность Уверенный пользователь ПК Работа с возражениями,от 57 000 до 75 000 руб. на руки
299,рабочий посёлок Томилино,"['Бухгалтерия, управленческий учет, финансы предприятия']",3–6 лет,Авансовые отчеты Инкассация Кассовые операции Банковское кассовое обслуживание Валютные операции,от 45 000 до 60 000 руб. до вычета налогов
300,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Активные продажи Работа в команде Консультирование Работа с кассой Обслуживание покупателей Грамотная речь Клиентоориентированность Розничная торговля Контроль сроков годности,от 45 000 до 55 000 руб. на руки
301,Самара,"['Бухгалтерия, управленческий учет, финансы предприятия']",1–3 года,Пользователь ПК Грамотная речь Работа с базами данных Деловая переписка Деловое общение,от 40 000 до 40 000 руб. на руки
302,Санкт-Петербург,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 50 000 до 120 000 руб. до вычета налогов
303,Уфа,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Грамотная речь Ведение переговоров Пользователь ПК Работа в команде Телефонные переговоры,от 70 000 руб. на руки
304,Одинцово,"['Бухгалтерия, управленческий учет, финансы предприятия']",3–6 лет,Расчет себестоимости Производственное планирование Финансовый анализ Управление производством Анализ себестоимости,от 60 000 до 70 000 руб. на руки
305,Москва,['Продажи'],не требуется,,от 70 000 до 150 000 руб. на руки
306,Ростов-на-Дону,['Продажи'],1–3 года,,от 56 000 руб. до вычета налогов
307,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Грамотная речь Телефонные переговоры Работа в команде Пользователь ПК,от 200 000 руб. на руки
308,Москва,['Продажи'],не требуется,Работа в команде Грамотная речь Ведение переговоров Навыки продаж Активные продажи,до 150 000 руб. на руки
309,Москва,['Продажи'],1–3 года,Грамотная речь Заключение договоров Деловое общение Ведение отчетности Аналитические способности,от 50 000 до 200 000 руб. на руки
310,Москва,"['Продажи', 'Начало карьеры, студенты']",3–6 лет,Навыки продаж Клиентоориентированность Умение работать в команде Работа с клиентами Обслуживание покупателей Опыт продаж Грамотная речь Работа в команде,от 50 000 до 120 000 руб. на руки
311,Видное,"['Рабочий персонал', 'Транспорт, логистика']",1–3 года,Работа на складе Приемка товара Учет товаров Вождение дизельного погрузчика,от 55 000 до 60 000 руб. на руки
312,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Linux Обучение персонала Обучение и развитие Руководство коллективом Организаторские навыки,от 50 000 до 120 000 руб. на руки
313,Воронеж,"['Информационные технологии, интернет, телеком']",не требуется,,от 15 000 руб. до вычета налогов
314,Москва,['Продажи'],не требуется,,от 60 000 до 200 000 руб. на руки
315,Екатеринбург,"['Производство, сельское хозяйство']",1–3 года,Excel Массовое производство Ответственность Производство ЛКМ,от 60 000 руб. на руки
316,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 150 000 руб. на руки
317,Санкт-Петербург,"['Информационные технологии, интернет, телеком']",3–6 лет,Unity С# iOS Android Teamleading Gamedev,от 430 000 руб. на руки
318,деревня Лапшинка,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 45 000 руб. на руки
319,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Телефонные переговоры Активные продажи Жилая недвижимость Холодные продажи Поиск и привлечение клиентов Навыки продаж CRM Деловая коммуникация Ориентация на результат Прямые продажи Оценка недвижимости Навыки переговоров Проведение презентаций Элитная недвижимость Коммерческая недвижимость Загородная недвижимость Вторичная недвижимость Подбор недвижимости по запросу клиента продажа недвижимости Заключение договоров Деловая переписка Работа в команде Ведение переговоров Грамотная речь Мониторинг рынка Обучение и развитие Агентские продажи Навыки презентации Клиентоориентированность Навыки работы с возражениями,от 150 000 руб. на руки
320,Санкт-Петербург,['Продажи'],не требуется,Прямые продажи Ведение клиентской базы Работа с ключевыми клиентами Работа в команде Навыки продаж Телефонные переговоры Активные продажи Холодные продажи B2B Продажи,от 65 000 руб. на руки
321,Воронеж,['Административный персонал'],не требуется,,от 43 000 руб. до вычета налогов
322,Москва,['Продажи'],не требуется,,от 57 000 до 120 000 руб. до вычета налогов
323,Москва,"['Закупки', 'Производство, сельское хозяйство', 'Транспорт, логистика']",3–6 лет,Английский — A1 — Начальный Работа с большим объемом информации Ведение отчетности Деловая переписка Деловая коммуникация 1С: Торговля и склад Закупки Грамотная устная и письменная речь Excel Желание расти и развиваться Работа в режиме многозадачности Контроль поставок Google таблицы Уверенный пользователь ПК Поиск поставщиков Закупка товаров и услуг Ориентация на результат,до 55 000 руб. на руки
324,Пермь,"['Административный персонал', 'Продажи']",не требуется,,от 30 000 руб. до вычета налогов
325,Астрахань,"['Наука, образование']",1–3 года,Грамотная речь Грамотность Организация мероприятий Творческое мышление Высокая энергичность и инициативность,от 28 000 руб. на руки
326,Москва,['Продажи'],1–3 года,,от 60 000 руб. до вычета налогов
327,Волгодонск,['Юристы'],3–6 лет,Претензионная работа Грамотная речь Составление исков Консультирование Деловая переписка,до 50 000 руб. на руки
328,Москва,['Продажи'],не требуется,Ведение переговоров Активные продажи Телефонные переговоры Работа в команде Навыки продаж,от 260 000 руб. на руки
329,Саратов,"['Транспорт, логистика']",1–3 года,,от 45 000 до 70 000 руб. до вычета налогов
330,Москва,"['Транспорт, логистика']",не требуется,Работа в команде Водительское удостоверение категории B Автомобильные грузоперевозки Транспортная логистика,от 150 000 руб. до вычета налогов
331,Ульяновск,['Продажи'],не требуется,,от 25 000 до 60 000 руб. до вычета налогов
332,Краснодар,"['Информационные технологии, интернет, телеком']",не требуется,,от 15 000 руб. до вычета налогов
333,Голицыно,"['Транспорт, логистика']",не требуется,Складской Учет Инвентаризация Контроль отгрузок,от 47 000 до 75 000 руб. на руки
