,location,industry,experience,skills,salary
422,Кемерово,"['Информационные технологии, интернет, телеком', 'Консультирование', 'Продажи', 'Административный персонал', 'Начало карьеры, студенты']",не требуется,,от 32 500 руб. до вычета налогов
423,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Активные продажи Навыки продаж Работа в команде Прямые продажи Обучение и развитие,от 140 000 руб. на руки
424,Саратов,"['Административный персонал', 'Продажи']",не требуется,,от 40 200 руб. до вычета налогов
425,Сочи,"['Маркетинг, реклама, PR', 'Продажи']",1–3 года,,от 40 000 до 100 000 руб. на руки
426,Уфа,"['Транспорт, логистика']",не требуется,Водительское удостоверение категории B Работа в команде Автомобильные перевозки,от 90 000 руб. на руки
427,Москва,"['Наука, образование']",1–3 года,,от 40 000 до 100 000 руб. на руки
428,Геленджик,"['Продажи', 'Начало карьеры, студенты']",не требуется,"Работа в команде Продажи Коммуникабельность, стрессоустойчивость Желание учиться и развиваться",от 38 500 до 41 800 руб. до вычета налогов
429,Пермь,['Продажи'],1–3 года,,от 36 000 руб. до вычета налогов
430,Анапа,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 40 000 руб. до вычета налогов
431,Краснодар,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Вторичная недвижимость Подбор недвижимости по запросу клиента Аренда недвижимости Загородная недвижимость Первичная недвижимость Ведение переговоров Сопровождение сделок Заключение договоров Телефонные переговоры Деловое общение Ведение клиентской базы Документальное сопровождение Элитная недвижимость,от 75 000 до 250 000 руб. до вычета налогов
432,Ярославль,"['Продажи', 'Начало карьеры, студенты']",не требуется,Продажи Активные продажи Работа в команде Консультирование Работа в клиентами Розничная торговля 1С: Розница Ориентация на результат Пользователь ПК Современная розница,от 40 500 до 64 000 руб. до вычета налогов
433,Воронеж,['Продажи'],1–3 года,,от 49 000 руб. до вычета налогов
434,Белгород,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 39 900 руб. до вычета налогов
435,Санкт-Петербург,"['Продажи', 'Медицина, фармацевтика']",1–3 года,Работа в команде Грамотная речь Прямые продажи,от 30 000 руб. на руки
436,Казань,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
437,Ульяновск,"['Безопасность', 'Банки, инвестиции, лизинг']",не требуется,,до 50 000 руб. до вычета налогов
438,Рязань,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 51 100 руб. до вычета налогов
439,Новосибирск,"['Административный персонал', 'Продажи']",не требуется,,от 36 400 руб. до вычета налогов
440,Ижевск,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 39 700 руб. до вычета налогов
441,Калуга,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 47 200 руб. до вычета налогов
442,Астрахань,['Продажи'],не требуется,,от 37 600 руб. до вычета налогов
443,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,B2C продажи Активные продажи Работа в команде Розничная торговля Обслуживание покупателей Работа с кассой Прямые продажи Консультирование Пользователь ПК Консультирование клиентов Собственная розница Современная розница Торговля Работа с клиентами,от 58 000 до 70 000 руб. до вычета налогов
444,Тольятти,"['Административный персонал', 'Продажи']",не требуется,,от 32 500 руб. до вычета налогов
445,Краснодар,['Продажи'],не требуется,,от 70 000 до 150 000 руб. на руки
446,Благовещенск (Амурская область),"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 37 500 руб. до вычета налогов
447,Чита,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 50 400 руб. до вычета налогов
448,Нижний Новгород,['Продажи'],не требуется,Активные продажи Клиентоориентированность Грамотная речь Навыки продаж продажи Консультирование клиентов Ориентация на результат,от 45 000 руб. до вычета налогов
449,Ульяновск,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 39 100 руб. до вычета налогов
450,Тюмень,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
451,Киров (Кировская область),"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 48 000 руб. до вычета налогов
452,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Жилая недвижимость Вторичная недвижимость Первичная недвижимость Подбор недвижимости по запросу клиента продажа недвижимости,от 180 000 руб. на руки
453,Тамбов,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 35 500 руб. до вычета налогов
454,Тольятти,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
455,Санкт-Петербург,"['Маркетинг, реклама, PR']",1–3 года,Английский — B1 — Средний Google Ads Ориентация на результат Английский язык Организаторские навыки Автоматизация контекстных кампаний Аналитический склад ума E-Commerce,от 220 000 до 250 000 руб. до вычета налогов
456,Белокуриха,"['Банки, инвестиции, лизинг']",не требуется,Грамотная речь Деловое общение Пользователь ПК Работа в команде,от 35 000 руб. на руки
457,Орел,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 45 600 руб. до вычета налогов
458,деревня Ям-Ижора,"['Транспорт, логистика']",не требуется,,от 90 000 до 130 000 руб. до вычета налогов
459,Москва,"['Продажи', 'Начало карьеры, студенты']",не требуется,Активные продажи Работа в команде Консультирование Работа с кассой Обслуживание покупателей Грамотная речь Клиентоориентированность Розничная торговля Контроль сроков годности,от 45 000 до 55 000 руб. до вычета налогов
460,Первоуральск,"['Автомобильный бизнес', 'Рабочий персонал']",1–3 года,,от 48 000 до 52 000 руб. до вычета налогов
461,Воронеж,['Продажи'],не требуется,,от 40 000 руб. до вычета налогов
462,Самара,['Продажи'],не требуется,Навыки продаж Активные продажи Прямые продажи Деловое общение Умение работать в команде CRM телефонные продажи Желание зарабатывать,от 50 000 руб. на руки
463,Пенза,"['Маркетинг, реклама, PR', 'Административный персонал', 'Начало карьеры, студенты']",не требуется,,от 48 000 до 71 000 руб. на руки
464,Москва,"['Информационные технологии, интернет, телеком', 'Маркетинг, реклама, PR']",3–6 лет,Adobe Photoshop Gamedev Креативность Lead Artist Art,от 150 000 руб. на руки
465,Казань,"['Продажи', 'Начало карьеры, студенты']",не требуется,Работа с кассой Контроль сроков годности Блочная выкладка товара,от 29 000 до 33 000 руб. до вычета налогов
466,Сланцы,"['Медицина, фармацевтика']",не требуется,,от 60 000 руб. на руки
467,Санкт-Петербург,"['Строительство, недвижимость', 'Рабочий персонал']",1–3 года,Работа в команде Грамотная речь Работа в условиях многозадачности Работа с компьютером Умение работать в условиях многозадачности,от 45 000 руб. на руки
468,Ростов-на-Дону,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
469,село Чесноковка,"['Медицина, фармацевтика']",не требуется,Пользователь ПК Грамотная речь Работа в команде Умение работать в команде,от 40 000 руб. до вычета налогов
470,Сергиев Посад,"['Безопасность', 'Банки, инвестиции, лизинг']",1–3 года,,от 70 000 руб. до вычета налогов
471,Ухта,"['Безопасность', 'Банки, инвестиции, лизинг']",не требуется,Работа в команде Телефонные переговоры Ведение переговоров Грамотная речь Ориентация на результат Взыскание задолженности,от 65 000 руб. до вычета налогов
472,Анапа,"['Туризм, гостиницы, рестораны']",не требуется,Работа в команде Обучение персонала Многозадачность,от 40 300 до 51 100 руб. до вычета налогов
473,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Жилая недвижимость Ведение переговоров Активные продажи Телефонные переговоры Навыки продаж Сопровождение клиентов Проведение презентаций Организаторские навыки Сопровождение сделок Заключение договоров Деловое общение Деловая переписка Загородная недвижимость Коммерческая недвижимость Поиск и привлечение клиентов Клиентоориентированность Вторичная недвижимость продажа недвижимости Подбор недвижимости по запросу клиента Навыки презентации Навыки переговоров Ориентация на результат Организация презентаций Корпоративная этика,от 200 000 руб. на руки
474,Екатеринбург,"['Автомобильный бизнес', 'Рабочий персонал']",не требуется,,от 48 000 до 52 000 руб. до вычета налогов
475,Омск,"['Транспорт, логистика']",не требуется,Мобильность Знание устройства автомобиля Работа в команде,от 68 700 до 74 500 руб. до вычета налогов
476,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Вторичная недвижимость Элитная недвижимость Навыки презентации,от 160 000 руб. на руки
477,Пермь,"['Административный персонал', 'Продажи']",не требуется,,от 20 000 руб. до вычета налогов
478,Петрозаводск,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
479,Северодвинск,['Продажи'],не требуется,Активные продажи Кредитные договоры Холодные продажи Прямые продажи,от 52 000 руб. до вычета налогов
480,Кострома,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
481,Новосибирск,"['Медицина, фармацевтика']",не требуется,Грамотная речь Работа в команде Умение работать в команде Деловое общение,от 50 000 до 75 000 руб. до вычета налогов
482,Москва,"['Информационные технологии, интернет, телеком']",1–3 года,SQL Linux Git Python Java QA,от 200 000 руб. до вычета налогов
483,Энгельс,"['Транспорт, логистика']",не требуется,,от 52 500 до 66 000 руб. до вычета налогов
484,город Сургут,"['Инсталляция и сервис', 'Информационные технологии, интернет, телеком', 'Рабочий персонал']",1–3 года,,от 52 200 до 60 000 руб. до вычета налогов
485,Кингисепп,"['Безопасность', 'Банки, инвестиции, лизинг']",не требуется,,от 66 700 руб. до вычета налогов
486,Челябинск,['Продажи'],не требуется,Грамотная речь Консультирование клиентов по телефону Работа в команде Телефонные переговоры входящие звонки,от 22 000 руб. до вычета налогов
487,Москва,"['Продажи', 'Искусство, развлечения, масс-медиа', 'Маркетинг, реклама, PR', 'Производство, сельское хозяйство', 'Рабочий персонал']",1–3 года,,от 25 000 до 80 000 руб. на руки
488,Пермь,"['Продажи', 'Начало карьеры, студенты']",не требуется,,от 25 000 до 37 000 руб. до вычета налогов
489,Москва,['Продажи'],не требуется,Вторичная недвижимость Жилая недвижимость Консультирование Договорная работа Активные продажи Недвижимость Заключение договоров Поиск и привлечение клиентов Консультативные продажи Телефонные переговоры Деловое общение Ведение переговоров,до 150 000 руб. на руки
490,Севастополь,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
491,Москва,['Продажи'],не требуется,,до 150 000 руб. на руки
492,Краснодар,['Продажи'],не требуется,,от 100 000 до 300 000 руб. на руки
493,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Жилая недвижимость Недвижимость Прямые продажи Управление персоналом Организация встреч Навыки продаж Грамотная речь Деловая коммуникация Управление проектами Вторичная недвижимость Телефонные переговоры Документальное сопровождение Креативность Активные продажи Проведение презентаций,от 60 000 до 250 000 руб. на руки
494,Челябинск,['Продажи'],1–3 года,Клиентоориентированность Активные продажи Работа в команде Сопровождение клиентов Консультирование клиентов,от 50 600 руб. до вычета налогов
495,Краснодар,['Продажи'],не требуется,,от 70 000 до 300 000 руб. на руки
496,Москва,['Продажи'],не требуется,Жилая недвижимость Загородная недвижимость Коммерческая недвижимость Элитная недвижимость Активные продажи Деловая переписка Прямые продажи Навыки продаж Заключение договоров Вторичная недвижимость продажа недвижимости Подбор недвижимости по запросу клиента Оценка недвижимости Агентские продажи Грамотная речь Деловая коммуникация,от 160 000 руб. на руки
497,Брянск,"['Продажи', 'Начало карьеры, студенты']",не требуется,Работа в команде Грамотная речь Пользователь ПК,от 22 000 руб. до вычета налогов
498,посёлок Шушары,"['Продажи', 'Начало карьеры, студенты']",1–3 года,Клиентоориентированность Консультирование клиентов Работа в команде Пользователь ПК Грамотная речь,от 43 800 до 48 600 руб. до вычета налогов
499,посёлок Садовый,"['Транспорт, логистика']",не требуется,Мобильность Водительское удостоверение категории BCE Водитель,от 88 000 до 120 000 руб. до вычета налогов
500,Ярославль,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
501,Воронеж,"['Административный персонал', 'Транспорт, логистика', 'Бухгалтерия, управленческий учет, финансы предприятия']",не требуется,Обучение и развитие Работа в команде Грамотная речь Клиентоориентированность Пользователь ПК,от 27 000 до 41 000 руб. до вычета налогов
502,Санкт-Петербург,['Продажи'],1–3 года,,от 59 500 руб. до вычета налогов
503,Новосибирск,"['Медицина, фармацевтика']",1–3 года,"Грамотная речь Работа в команде Медицинская документация Грамотность Обучение и развитие Практическая медицина Умение планировать Работа в 4 руки умение проявлять внимание, заинтересованность, дружелюбие Умение общаться с людьми",от 70 000 руб. до вычета налогов
504,Москва,"['Продажи', 'Строительство, недвижимость', 'Консультирование']",не требуется,Элитная недвижимость Деловая коммуникация Работа в команде Активные продажи Навыки продаж Развитие продаж Оценка недвижимости Подбор недвижимости по запросу клиента продажа недвижимости работа с текущей базой клиентов Поиск и привлечение клиентов Первичная недвижимость Сопровождение сделок Ориентация на результат Ведение переговоров Жилая недвижимость Загородная недвижимость Коммерческая недвижимость Деловое общение Вторичная недвижимость Проведение презентаций Телефонные переговоры Риелторская деятельность Анализ рынка Клиентоориентированность Ориентация на клиента Навыки работы с возражениями Продажа объекта Агентские продажи Прямые продажи,от 160 000 руб. на руки
505,посёлок Есаульский,"['Транспорт, логистика']",не требуется,,от 72 400 до 79 800 руб. до вычета налогов
506,Краснодар,"['Информационные технологии, интернет, телеком']",1–3 года,SQL Linux Git Java QA,от 200 000 руб. до вычета налогов
507,Тула,"['Транспорт, логистика']",не требуется,"Водитель, права категории Е",от 90 000 до 120 000 руб. до вычета налогов
